SCHCD,AC_YEAR,TCH_MALE,TCH_FEMALE,TCH_NR,HEADTCH,HTCHNAME,GRADABOVE,TCHWITHPROF,DAYSINVLD,TCHINVLD
29280203926,2016-17,0,0,0,0, ,0,0,0,0
29041109226,2016-17,0,0,0,0, ,0,0,0,0
29090505846,2016-17,0,0,0,0, ,0,0,0,0
29011210619,2016-17,0,0,0,0, ,0,0,0,0
29190737709,2016-17,0,0,0,0, ,0,0,0,0
29200412811,2016-17,0,0,0,0, ,0,0,0,0
29150418043,2016-17,0,0,0,0, ,0,0,0,0
29150539262,2016-17,0,0,0,0, ,0,0,0,0
29020909604,2016-17,0,0,0,0, ,0,0,0,0
29280203024,2016-17,0,0,0,0, ,0,0,0,0
29301403816,2016-17,0,0,0,0, ,0,0,0,0
29040108601,2016-17,0,0,0,0, ,0,0,0,0
29090701720,2016-17,0,0,0,0, ,0,0,0,0
29291118107,2016-17,0,0,0,0, ,0,0,0,0
29200900128,2016-17,0,0,0,0, ,0,0,0,0
29090603547,2016-17,0,0,0,0, ,0,0,0,0
29111415209,2016-17,0,0,0,0, ,0,0,0,0
29280602439,2016-17,0,0,0,0, ,0,0,0,0
29301404854,2016-17,0,0,0,0, ,0,0,0,0
29120116905,2016-17,0,0,0,0, ,0,0,0,0
29210317017,2016-17,0,0,0,0, ,0,0,0,0
29090605026,2016-17,0,0,0,0, ,0,0,0,0
29230754402,2016-17,0,0,0,0, ,0,0,0,0
29120906321,2016-17,0,0,0,0, ,0,0,0,0
29040606703,2016-17,0,0,0,0, ,0,0,0,0
29120810208,2016-17,0,0,0,0, ,0,0,0,0
29020900210,2016-17,0,0,0,0, ,0,0,0,0
29150329902,2016-17,0,0,0,0, ,0,0,0,0
29090700119,2016-17,0,0,0,0, ,0,0,0,0
29031402420,2016-17,0,0,0,0, ,0,0,0,0
29030508612,2016-17,0,0,0,0, ,0,0,0,0
29280706905,2016-17,0,0,0,0, ,0,0,0,0
29031402632,2016-17,0,0,0,0, ,0,0,0,0
29300518104,2016-17,0,0,0,0, ,0,0,0,0
29240605013,2016-17,0,0,0,0, ,0,0,0,0
29030821404,2016-17,0,0,0,0, ,0,0,0,0
29020720416,2016-17,0,0,0,0, ,0,0,0,0
29080511307,2016-17,0,0,0,0, ,0,0,0,0
29111700504,2016-17,0,0,0,0, ,0,0,0,0
29021113003,2016-17,0,0,0,0, ,0,0,0,0
29301406312,2016-17,0,0,0,0, ,0,0,0,0
29120116301,2016-17,0,0,0,0, ,0,0,0,0
29020908408,2016-17,0,0,0,0, ,0,0,0,0
29111414806,2016-17,0,0,0,0, ,0,0,0,0
29060122309,2016-17,0,0,0,0, ,0,0,0,0
29080505016,2016-17,0,0,0,0, ,0,0,0,0
29060618202,2016-17,0,0,0,0, ,0,0,0,0
29041110215,2016-17,0,0,0,0, ,0,0,0,0
29130128722,2016-17,0,0,0,0, ,0,0,0,0
29090210132,2016-17,0,0,0,0, ,0,0,0,0
29050417746,2016-17,0,0,0,0, ,0,0,0,0
29230506907,2016-17,0,0,0,0, ,0,0,0,0
29090603932,2016-17,0,0,0,0, ,0,0,0,0
29310305102,2016-17,0,0,0,0, ,0,0,0,0
29170625803,2016-17,0,0,0,0, ,0,0,0,0
29090701428,2016-17,0,0,0,0, ,0,0,0,0
29280720916,2016-17,0,0,0,0, ,0,0,0,0
29280203927,2016-17,0,0,0,0, ,0,0,0,0
29050417519,2016-17,0,0,0,0, ,0,0,0,0
29280500124,2016-17,0,0,0,0, ,0,0,0,0
29031210707,2016-17,0,0,0,0, ,0,0,0,0
29150411606,2016-17,0,0,0,0, ,0,0,0,0
29040406703,2016-17,0,0,0,0, ,0,0,0,0
29330811735,2016-17,0,0,0,0, ,0,0,0,0
29030307525,2016-17,0,0,0,0, ,0,0,0,0
29070211103,2016-17,0,0,0,0, ,0,0,0,0
29280601759,2016-17,0,0,0,0, ,0,0,0,0
29080305305,2016-17,0,0,0,0, ,0,0,0,0
29260908702,2016-17,0,0,0,0, ,0,0,0,0
29140405639,2016-17,0,0,0,0, ,0,0,0,0
29320512805,2016-17,0,0,0,0, ,0,0,0,0
29180117507,2016-17,0,0,0,0, ,0,0,0,0
29031216306,2016-17,0,0,0,0, ,0,0,0,0
29320821902,2016-17,0,0,0,0, ,0,0,0,0
29330832905,2016-17,0,0,0,0, ,0,0,0,0
29050221606,2016-17,0,0,0,0, ,0,0,0,0
29050416923,2016-17,0,0,0,0, ,0,0,0,0
29240503410,2016-17,0,0,0,0, ,0,0,0,0
29230709308,2016-17,0,0,0,0, ,0,0,0,0
29300603806,2016-17,0,0,0,0, ,0,0,0,0
29200901320,2016-17,0,0,0,0, ,0,0,0,0
29031012016,2016-17,0,0,0,0, ,0,0,0,0
29020906732,2016-17,0,0,0,0, ,0,0,0,0
29080510305,2016-17,0,0,0,0, ,0,0,0,0
29120511215,2016-17,0,0,0,0, ,0,0,0,0
29180721507,2016-17,0,0,0,0, ,0,0,0,0
29120514602,2016-17,0,0,0,0, ,0,0,0,0
29050407907,2016-17,0,0,0,0, ,0,0,0,0
29120900817,2016-17,0,0,0,0, ,0,0,0,0
29060115908,2016-17,0,0,0,0, ,0,0,0,0
29230707409,2016-17,0,0,0,0, ,0,0,0,0
29010304507,2016-17,0,0,0,0, ,0,0,0,0
29140100601,2016-17,0,0,0,0, ,0,0,0,0
29100803335,2016-17,0,0,0,0, ,0,0,0,0
29180901214,2016-17,0,0,0,0, ,0,0,0,0
29120201912,2016-17,0,0,0,0, ,0,0,0,0
29120611104,2016-17,0,0,0,0, ,0,0,0,0
29260703710,2016-17,0,0,0,0, ,0,0,0,0
29120505308,2016-17,0,0,0,0, ,0,0,0,0
29200402206,2016-17,0,0,0,0, ,0,0,0,0
29010817112,2016-17,0,0,0,0, ,0,0,0,0
29330832904,2016-17,0,0,0,0, ,0,0,0,0
29280708310,2016-17,0,0,0,0, ,0,0,0,0
29020202915,2016-17,0,0,0,0, ,0,0,0,0
29090604506,2016-17,0,0,0,0, ,0,0,0,0
29030503439,2016-17,0,0,0,0, ,0,0,0,0
29280706427,2016-17,0,0,0,0, ,0,0,0,0
29180117508,2016-17,0,0,0,0, ,0,0,0,0
29060816407,2016-17,0,0,0,0, ,0,0,0,0
29110714202,2016-17,0,0,0,0, ,0,0,0,0
29040207202,2016-17,0,0,0,0, ,0,0,0,0
29280207621,2016-17,0,0,0,0, ,0,0,0,0
29070208760,2016-17,0,0,0,0, ,0,0,0,0
29020901011,2016-17,0,0,0,0, ,0,0,0,0
29140311731,2016-17,0,0,0,0, ,0,0,0,0
29280231907,2016-17,0,0,0,0, ,0,0,0,0
29031305503,2016-17,0,0,0,0, ,0,0,0,0
29090205521,2016-17,0,0,0,0, ,0,0,0,0
29020710006,2016-17,0,0,0,0, ,0,0,0,0
29140118817,2016-17,0,0,0,0, ,0,0,0,0
29240105611,2016-17,0,0,0,0, ,0,0,0,0
29200108006,2016-17,0,0,0,0, ,0,0,0,0
29090701718,2016-17,0,0,0,0, ,0,0,0,0
29040534816,2016-17,0,0,0,0, ,0,0,0,0
29301301024,2016-17,0,0,0,0, ,0,0,0,0
29050220515,2016-17,0,0,0,0, ,0,0,0,0
29010202906,2016-17,0,0,0,0, ,0,0,0,0
29040535539,2016-17,0,0,0,0, ,0,0,0,0
29130219552,2016-17,0,0,0,0, ,0,0,0,0
29031400448,2016-17,0,0,0,0, ,0,0,0,0
29331028410,2016-17,0,0,0,0, ,0,0,0,0
29130402605,2016-17,0,0,0,0, ,0,0,0,0
29280600944,2016-17,0,0,0,0, ,0,0,0,0
29301009407,2016-17,0,0,0,0, ,0,0,0,0
29090700212,2016-17,0,0,0,0, ,0,0,0,0
29031201305,2016-17,0,0,0,0, ,0,0,0,0
29280600446,2016-17,0,0,0,0, ,0,0,0,0
29150316605,2016-17,0,0,0,0, ,0,0,0,0
29150535512,2016-17,0,0,0,0, ,0,0,0,0
29030503211,2016-17,0,0,0,0, ,0,0,0,0
29230620903,2016-17,0,0,0,0, ,0,0,0,0
29030500210,2016-17,0,0,0,0, ,0,0,0,0
29330706403,2016-17,0,0,0,0, ,0,0,0,0
29300510911,2016-17,0,0,0,0, ,0,0,0,0
29050213329,2016-17,0,0,0,0, ,0,0,0,0
29140603802,2016-17,0,0,0,0, ,0,0,0,0
29140208524,2016-17,0,0,0,0, ,0,0,0,0
29200102408,2016-17,0,0,0,0, ,0,0,0,0
29290407905,2016-17,0,0,0,0, ,0,0,0,0
29060524702,2016-17,0,0,0,0, ,0,0,0,0
29031401665,2016-17,0,0,0,0, ,0,0,0,0
29280603217,2016-17,0,0,0,0, ,0,0,0,0
29010303407,2016-17,0,0,0,0, ,0,0,0,0
29080302312,2016-17,0,0,0,0, ,0,0,0,0
29021104338,2016-17,0,0,0,0, ,0,0,0,0
29020904912,2016-17,0,0,0,0, ,0,0,0,0
29280602032,2016-17,0,0,0,0, ,0,0,0,0
29070916306,2016-17,0,0,0,0, ,0,0,0,0
29200431703,2016-17,0,0,0,0, ,0,0,0,0
29280235615,2016-17,0,0,0,0, ,0,0,0,0
29280721210,2016-17,0,0,0,0, ,0,0,0,0
29030509615,2016-17,0,0,0,0, ,0,0,0,0
29050416825,2016-17,0,0,0,0, ,0,0,0,0
29290521515,2016-17,0,0,0,0, ,0,0,0,0
29020116405,2016-17,0,0,0,0, ,0,0,0,0
29011111360,2016-17,0,0,0,0, ,0,0,0,0
29140514006,2016-17,0,0,0,0, ,0,0,0,0
29300105214,2016-17,0,0,0,0, ,0,0,0,0
29331028516,2016-17,0,0,0,0, ,0,0,0,0
29111601504,2016-17,0,0,0,0, ,0,0,0,0
29031015207,2016-17,0,0,0,0, ,0,0,0,0
29280700410,2016-17,0,0,0,0, ,0,0,0,0
29060818209,2016-17,0,0,0,0, ,0,0,0,0
29200141201,2016-17,0,0,0,0, ,0,0,0,0
29130219553,2016-17,0,0,0,0, ,0,0,0,0
29040423405,2016-17,0,0,0,0, ,0,0,0,0
29090701331,2016-17,0,0,0,0, ,0,0,0,0
29301002077,2016-17,0,0,0,0, ,0,0,0,0
29040534653,2016-17,0,0,0,0, ,0,0,0,0
29020902614,2016-17,0,0,0,0, ,0,0,0,0
29130307005,2016-17,0,0,0,0, ,0,0,0,0
29090701232,2016-17,0,0,0,0, ,0,0,0,0
29080102302,2016-17,0,0,0,0, ,0,0,0,0
29240606522,2016-17,0,0,0,0, ,0,0,0,0
29010201714,2016-17,0,0,0,0, ,0,0,0,0
29011200903,2016-17,0,0,0,0, ,0,0,0,0
29031204913,2016-17,0,0,0,0, ,0,0,0,0
29090603829,2016-17,0,0,0,0, ,0,0,0,0
29031201109,2016-17,0,0,0,0, ,0,0,0,0
29110613211,2016-17,0,0,0,0, ,0,0,0,0
29020914306,2016-17,0,0,0,0, ,0,0,0,0
29170826403,2016-17,0,0,0,0, ,0,0,0,0
29260608305,2016-17,0,0,0,0, ,0,0,0,0
29210417703,2016-17,0,0,0,0, ,0,0,0,0
29031017502,2016-17,0,0,0,0, ,0,0,0,0
29040117306,2016-17,0,0,0,0, ,0,0,0,0
